"household_id","coupon_count"
1,302
2,56
3,163
4,49
5,0
6,188
7,155
8,396
9,0
10,0
11,0
12,0
13,367
14,252
15,0
16,82
17,200
18,179
19,360
20,252
21,0
22,292
23,153
24,0
25,200
26,48
27,283
28,219
29,197
30,0
31,5
32,250
33,0
34,0
35,0
36,114
37,105
38,50
39,149
40,461
41,56
42,153
43,206
44,0
45,49
46,332
47,153
48,89
49,172
50,0
51,200
52,236
53,0
54,0
55,186
56,54
57,186
58,336
59,0
60,0
61,0
62,0
63,0
64,186
65,256
66,0
67,250
68,353
69,334
70,0
71,104
72,238
73,200
74,221
75,0
76,0
77,89
78,221
79,56
80,81
81,198
82,0
83,50
84,0
85,301
86,105
87,0
88,410
89,0
90,0
91,104
92,49
93,488
94,0
95,254
96,47
97,156
98,106
99,158
100,0
101,200
103,49
104,351
105,321
106,0
107,0
108,165
109,186
110,186
111,56
112,48
113,400
114,153
115,437
116,99
117,278
118,221
119,105
120,0
121,153
122,200
123,153
124,0
125,367
126,0
127,205
128,0
129,0
130,0
131,266
132,283
133,186
134,226
135,0
136,105
137,49
138,83
139,104
140,95
141,0
142,266
143,315
144,200
145,50
146,0
147,0
148,0
149,231
150,0
151,49
152,0
153,0
154,0
155,97
156,358
157,233
158,186
159,0
160,35
161,109
162,137
163,0
164,137
165,285
166,104
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,49
180,97
181,97
182,0
183,186
184,198
185,49
186,0
187,47
188,97
189,0
190,0
191,0
192,131
193,233
194,49
195,97
196,259
197,0
198,346
199,0
200,33
201,0
202,0
203,0
204,0
205,170
207,0
208,309
209,212
210,301
211,104
212,218
213,0
214,203
215,48
216,97
217,75
218,186
219,238
220,137
221,153
222,153
223,198
224,0
225,0
226,49
227,56
228,104
229,0
230,153
231,0
232,233
233,0
234,0
235,299
236,50
237,0
238,0
239,360
240,0
241,0
242,186
243,252
244,0
245,49
246,105
247,0
248,26
249,153
250,0
251,91
252,0
253,301
254,0
255,0
256,428
257,97
258,200
259,0
260,0
261,56
262,313
263,224
264,56
265,147
266,81
267,0
268,0
269,0
270,0
271,130
272,0
273,104
274,0
275,153
276,280
277,0
278,96
279,49
280,49
281,247
282,221
283,195
284,0
285,254
286,50
287,313
288,147
289,221
290,338
291,204
292,0
293,224
294,392
295,0
296,0
297,97
298,0
299,0
300,247
301,275
302,49
303,186
304,331
305,247
306,219
307,153
308,56
309,0
310,0
311,0
312,97
314,33
315,0
316,0
317,259
318,151
319,200
320,0
321,280
322,153
323,0
324,225
325,0
326,0
327,0
328,216
329,256
330,105
331,82
332,235
333,49
334,327
335,152
336,84
337,49
338,132
339,91
340,0
341,0
342,49
343,48
344,0
345,339
346,153
347,0
348,48
349,0
350,185
351,289
352,0
353,153
354,294
355,0
356,48
357,0
358,311
360,0
361,295
362,151
363,0
364,184
365,259
366,0
367,301
368,96
369,35
370,56
371,398
372,0
373,0
374,375
375,0
376,269
377,212
378,186
380,280
381,194
382,0
383,156
384,193
385,0
386,186
387,153
388,0
389,349
390,153
391,89
392,266
393,200
394,169
395,0
396,128
397,254
398,56
399,0
400,31
401,0
402,82
403,0
404,316
405,103
406,0
407,0
408,196
409,257
410,49
411,221
412,142
413,303
414,200
415,0
416,0
417,0
418,358
419,56
420,200
421,287
422,0
423,0
424,0
425,308
426,153
427,0
428,214
429,0
430,50
431,0
432,48
433,48
434,395
435,0
436,33
437,309
438,91
439,50
440,0
441,48
442,82
443,186
444,0
445,247
446,0
447,144
448,0
449,0
450,56
451,153
452,0
453,0
454,301
455,0
456,369
457,0
458,219
459,105
460,186
461,0
462,48
463,172
464,346
465,0
466,0
467,303
468,303
469,184
470,245
471,0
472,297
473,105
474,0
475,49
476,33
477,0
478,0
479,97
480,111
481,47
482,56
483,151
484,153
485,26
486,0
487,0
488,0
489,231
490,200
491,221
492,355
493,221
495,252
496,0
497,0
498,35
499,0
500,0
501,0
502,56
503,257
504,0
505,0
506,0
507,49
508,49
509,0
510,393
511,186
513,212
514,105
515,151
516,0
517,282
518,186
519,50
520,56
521,0
522,0
523,104
524,223
525,0
526,330
527,131
528,0
529,85
530,49
531,0
532,0
533,96
534,140
535,0
536,182
537,49
538,105
539,0
540,54
541,66
542,104
543,256
544,152
545,153
546,153
547,0
548,212
549,56
550,0
551,0
552,0
553,321
554,0
555,0
556,0
557,0
558,179
559,0
560,327
561,0
562,56
563,48
564,0
565,0
566,48
567,97
568,304
569,297
570,49
571,0
572,47
573,130
574,353
575,283
576,334
577,48
578,108
579,0
