"household_id","week","daily_amount_spent"
1,1,10.5385714285714
1,2,0
1,3,6.92857142857143
1,4,10.84
1,5,2.04428571428571
1,6,8.74714285714286
1,7,0
1,8,16.78
1,9,0
1,10,9.82857142857143
1,11,13.9385714285714
1,12,0
1,13,12.9585714285714
1,14,0
1,15,1.14142857142857
1,16,0
1,17,12.6
1,18,0
1,19,12.74
1,20,11.8342857142857
1,21,7.04714285714286
1,22,19.6971428571429
1,23,0
1,24,9.96857142857143
1,25,0
1,26,9.83
1,27,11.3242857142857
1,28,3.81714285714286
1,29,4.6
1,30,13.8157142857143
1,31,1.41142857142857
1,32,5.7
1,33,5.52714285714286
1,34,0
1,35,0
1,36,3.76
1,37,13.7985714285714
1,38,1.21
1,39,14.24
1,40,0
1,41,12.5685714285714
1,42,0
1,43,3.38142857142857
1,44,7.93571428571429
1,45,19.12
1,46,0.854285714285714
1,47,7.81571428571429
1,48,11.6042857142857
1,49,1.16285714285714
1,50,8.26857142857143
1,51,9.76285714285714
1,52,5.93857142857143
2,1,3.34428571428571
2,2,0
2,3,0
2,4,0
2,5,8.19714285714286
2,6,0
2,7,0
2,8,13.5128571428571
2,9,2.21142857142857
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,6.31428571428571
2,20,2.57
2,21,1.51285714285714
2,22,0
2,23,0
2,24,0
2,25,0
2,26,9.18714285714286
2,27,0
2,28,15.8128571428571
2,29,9.98
2,30,11.0585714285714
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,15.36
2,38,0
2,39,0
2,40,0
2,41,0
2,42,6.32
2,43,12.0842857142857
2,44,1.65285714285714
2,45,0
2,46,0
2,47,0.498571428571429
2,48,14.86
2,49,11.8257142857143
2,50,0
2,51,0
2,52,0
3,1,2.38857142857143
3,2,0
3,3,2.66714285714286
3,4,0
3,5,0
3,6,40.8942857142857
3,7,0
3,8,0
3,9,0
3,10,0
3,11,17.8157142857143
3,12,7.63571428571429
3,13,0.502857142857143
3,14,0
3,15,0
3,16,3.32857142857143
3,17,0
3,18,9.5
3,19,0
3,20,9.28142857142857
3,21,0.641428571428571
3,22,1.93142857142857
3,23,0
3,24,5.50857142857143
3,25,0
3,26,14.2442857142857
3,27,0
3,28,2.12142857142857
3,29,0
3,30,0
3,31,2.85857142857143
3,32,0
3,33,0
3,34,0
3,35,0
3,36,14.5557142857143
3,37,0
3,38,0
3,39,0
3,40,0
3,41,4.19857142857143
3,42,0.97
3,43,0
3,44,0
3,45,0
3,46,0
3,47,0
3,48,0
3,49,0
3,50,0
3,51,5.61714285714286
3,52,0
4,1,13.7314285714286
4,2,0
4,3,4.19
4,4,0
4,5,0
4,6,2.58285714285714
4,7,3.79
4,8,0
4,9,4.26428571428571
4,10,0.47
4,11,2.72
4,12,0
4,13,0
4,14,1.42428571428571
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,4.28857142857143
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,2.06857142857143
4,27,0
4,28,0
4,29,0
4,30,0
4,31,3.35714285714286
4,32,0
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,3.22
4,44,0
4,45,0
4,46,2.80714285714286
4,47,0
4,48,10.6842857142857
4,49,3.56428571428571
4,50,0
4,51,0
4,52,0
5,1,0
5,2,0
5,3,2.85285714285714
5,4,0
5,5,3.67428571428571
5,6,0
5,7,0
5,8,1.49714285714286
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
5,18,0
5,19,4.70285714285714
5,20,0
5,21,0
5,22,2.95285714285714
5,23,0
5,24,4.85285714285714
5,25,0
5,26,0.824285714285714
5,27,0
5,28,5.60285714285714
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,1.79714285714286
5,35,0
5,36,0
5,37,2.77142857142857
5,38,0
5,39,2.28428571428571
5,40,7.10428571428571
5,41,0
5,42,0
5,43,0
5,44,1.89285714285714
5,45,0
5,46,0
5,47,0
5,48,0
5,49,0
5,50,0
5,51,0
5,52,0
6,1,6.15
6,2,20.1628571428571
6,3,5.11142857142857
6,4,3.86714285714286
6,5,8.59285714285714
6,6,10.2071428571429
6,7,11.9571428571429
6,8,1.94714285714286
6,9,18.0414285714286
6,10,14.8157142857143
6,11,16.92
6,12,8.61285714285714
6,13,12.28
6,14,7.62857142857143
6,15,14.6728571428571
6,16,7.76285714285714
6,17,9.22142857142857
6,18,5.81857142857143
6,19,12.6242857142857
6,20,4.04714285714286
6,21,7.05285714285714
6,22,8.49714285714286
6,23,8.22
6,24,3.68285714285714
6,25,15.45
6,26,17.8585714285714
6,27,4.62
6,28,12.5985714285714
6,29,8.44714285714286
6,30,10.6314285714286
6,31,14.4842857142857
6,32,13.9157142857143
6,33,8.63285714285714
6,34,15.5657142857143
6,35,13.5285714285714
6,36,6.58428571428571
6,37,9.81428571428571
6,38,5.80714285714286
6,39,7.70142857142857
6,40,4.45857142857143
6,41,3.97857142857143
6,42,18.8214285714286
6,43,9.27857142857143
6,44,4.15714285714286
6,45,2.67857142857143
6,46,8.47571428571429
6,47,11.0128571428571
6,48,4.61142857142857
6,49,10.0557142857143
6,50,10.1657142857143
6,51,6.85285714285714
6,52,4.76
7,1,0
7,2,0
7,3,3.09857142857143
7,4,0
7,5,1.75428571428571
7,6,13.7271428571429
7,7,10.6742857142857
7,8,0
7,9,0
7,10,0
7,11,0
7,12,4.29571428571429
7,13,11.0242857142857
7,14,12
7,15,0
7,16,16.5085714285714
7,17,0
7,18,0
7,19,16.7071428571429
7,20,22.6371428571429
7,21,0
7,22,20.7885714285714
7,23,4.43857142857143
7,24,19.5671428571429
7,25,0
7,26,0
7,27,0
7,28,2.08428571428571
7,29,0
7,30,0
7,31,0
7,32,0
7,33,3.50285714285714
7,34,16.2857142857143
7,35,0
7,36,11.4114285714286
7,37,0
7,38,15.5157142857143
7,39,9.22142857142857
7,40,17.0428571428571
7,41,0
7,42,2.85285714285714
7,43,0
7,44,1.45428571428571
7,45,0
7,46,5.55
7,47,7.22714285714286
7,48,0
7,49,2.92857142857143
7,50,11.1014285714286
7,51,14.5114285714286
7,52,0.998571428571429
8,1,9.73142857142857
8,2,0
8,3,8.49571428571429
8,4,5.11428571428571
8,5,15.3542857142857
8,6,0
8,7,17.6785714285714
8,8,0
8,9,23.4814285714286
8,10,19.1014285714286
8,11,15.75
8,12,11.7171428571429
8,13,0
8,14,5.80714285714286
8,15,9.64142857142857
8,16,27.4014285714286
8,17,0
8,18,0
8,19,0
8,20,15.0357142857143
8,21,6.97285714285714
